Kd.-Nr.;Name;Ansprechpartner;E-mail;Telefon;Adresse;PLZ;Ort
60239;Barbara Blaß Moden, Blaß & Kär;Frau und Herr Blaß;bb@moderne-erste-hilfe.de;49683447383;Provinzialstraße 63;DE-66787;Wadgassen
60223;Beppler am Bahnhof GmbH;Herr Beppler;info@beppler-mode.de;4964032371;Bismarckstrasse 1;DE-35428;Langgöns
60227;Cassis II;Frau Klemm;;497276929066;Obere Hauptstrasse 11;DE-76863;Herxheim
60226;Der Laden um die Ecke;Nicole Fauss;nicole.fauss@t-online.de;496382993563;Hauptstraße 28;DE-67742;Lauterecken
60247;Fantasy;Monja Schmitt;fantasy.fahionhouse@freenet.de;4962429145955;Backsteinweg 2;DE-67574;Osthofen
60219;Firma Dorn;Frau Schnell;herrnmode-dorn@t-online.de;4961332432;Mainzer Str. 7;DE-55276;Oppenheim
60234;Futuro Due;Herr Hofmann;futuro-due@gmx.de;4964014892;Im Alten Posthof 4;DE-35305;Grünberg
60057;Fysel;Heike Hofer;info@fysel.de;495661927580;Rotenburger Str. 8;DE-34212;Melsungen
60228;HD Heike Dietrich;Heike Dietrich;;49632132751;Hintergasse 1;DE-67433;Neustadt an der Weinstraße
60237;History, Jeans & Fashion GbR;Frau Schmidt;historywnd@aol.com;49685184606;Luisenstraße 214;DE-66606;St. Wendel  Dom Galerie
60232;Jeans & Mode Becker;Herr Becker;sales@beckerrudi.de;49633377206;Hauptstraße 41;DE-67714;Waldfischbach
60225;Jeans Boss;Kerstin Kerzberger;blc-event@t-online.de;496772969059;Römer Strasse 52;DE-56355;Nastätten
60240;Jeans No 6 GmbH;Edith Heinz;e-schirra@t-online.de;49633212195;Fruchtmarkstr. 35;DE-66482;Zweibrücken
60245;JO JO Mode Pur GdbR;Jutta Eutemann;;49274124857;Viktoriastrasse 18;DE-57518;Betzdorf
60059;Jochen's Mode;Frau Gass, Frau Benz;dbc-jeans@gmx.de;4976446880;Brotstraße 1;DE-79341;Kenzingen
60061;Kaufhaus Ahrens AG;Melanie Koch;denise.brier@kaufhaus-ahrens.de;4964212980;Wilhelmstraße 5-7;DE-35037;Marburg
60230;Kleiderwechsel;Ilona Weidmann;info@kleiderwechsel.info;496237403881;Hauptstraße 77d;DE-67133;Maxdorf
60231;M&M Trend;;m-m-trend@t-online.de;491733129078;Finsternheimerstrasse 43;DE-76891;Bundenthal
60233;Mode 2000;Frau Höllen, Frau Süss;www.mode2000@gmx.de;4926542700;Kloeppel Strasse 30-32;DE-56751;Polch
60236;Mode Müller GmbH;Herr Müller;mode.mueller@t-online.de;4993641577;Turmstraße 10;DE-97225;Zellingen
60229;Mode Röser;Frau Röser;mode-roeser-simmern@t-online.de;4967612411;Marktstraße 43;DE-55469;Simmern
60222;Modehaus Barz;Frau Herrlinger;info@barz.mode.de;4963745935;Hauptstrasse 37;DE-67685;Weilerbach Pfalz
60246;Modehaus Erna Schneider GmbH &;Karin Ahrens;melanie.koch@modehaus-schneider.de;4966197840;Universitätsplatz 3;DE-36037;Fulda
60238;Modehaus Even;Frau /Herr Even;einkauf@modehauseven.de;4965922192;Burgfriedstr. 23;DE-54550;Daun
60220;Modehaus Müller-Ditschler;Ilona Müller;info@mueller-ditschler.de;49604296010;Bahnhofstraße 39;DE-63654;Büdingen
60063;Modehaus Zinser GmbH & Co. KG;Isolde Kuhnhäuser;i.kuhnhaeuser@mode-zinser.de;4970711520;Hagenring 23;DE-72119;Ammerbuch/Altingen
60218;Neun;Sabine Hünlein;mail@neun-reichelsheim.de;4960353359;Bingenheimer Str. 21;DE-61203;Reichelsheim
60235;New Line Gmbh, Jeans & Jeans;Martina Hartmann;new-line-gmbh@t-online.de;496781450596;Mainzer Straße 106;DE-55743;Idar-Oberstein
60221;New Patrick`s Corner;Frau Schlegel;'new-patricks@t-online.de';4961522795;Mittel Straße 2;DE-64521;Gross-Gerau
60249;Outfit, Thiel/ Greiff Gbr.;;;496581920137;Boemundhof 12;DE-54439;Saarburg
60065;Schwenk Mode Welt Wings;;elke@schwenk-mode.de;49738193870;Lichtensteinstraße 36;DE-72525;Münsingen
60241;Sportivo, Jeans & Fashion GmbH;Herr Vogelmann;;496196642241;Langgasse 1;DE-65719;Hofheim
60244;That`s me;Sabine Eberling;;49;Gartenstraße 300;DE-61184;Karben
60243;Trend Mode;Frau Di Tullio;vesna.ditullio@yahoo.de;497243725985;Marktplatz 6;DE-76275;Ettlingen
60224;Trio mode & mehr OHG;;;492676910721;Winkel Straße 6;DE-56766;Ulmen
60242;Villa Moda;;;49688188400;Kirchplatz 3;DE-66571;Eppelborn
